negociacao,c_v,mercado,acao,obs,quantidade,preco,total,d_c
bovespa,v,vista,marcopolo pn n2,,200,3.25,650,c
bovespa,v,vista,marcopolo pn n2,,200,3.25,650,c
bovespa,v,vista,marcopolo pn n2,#,600,3.25,1950,c
bovespa,v,vista,marcopolo pn n2,,200,3.25,650,c
bovespa,v,vista,marcopolo pn n2,,100,3.25,325,c
bovespa,v,vista,marcopolo pn n2,,100,3.25,325,c
bovespa,v,vista,marcopolo pn n2,,100,3.25,325,c
bovespa,v,vista,marcopolo pn n2,,100,3.25,325,c
bovespa,v,vista,marcopolo pn n2,,200,3.25,650,c
bovespa,v,vista,marcopolo pn n2,,200,3.25,650,c
bovespa,v,vista,marcopolo pn n2,,200,3.25,650,c
bovespa,v,vista,marcopolo pn n2,,200,3.25,650,c
bovespa,v,vista,randon part pn n1,,1000,7.88,7880,c
bovespa,v,vista,usiminas pna n1,,1000,7.93,7930,c
